AbonentID,Name,SecondName,SurName,Street,HouseNumber,HomeNumber,WorkNumber,MobileNumber
6,Май,Щукин,Максимович,Пушкинская,28,74954632354,-,74956124504
5,Мечеслав,Голубев,Яковович,Тургеневская,32,-,74951722611,74952026670
4,Гарри,Савин,Васильевич,Московская,7,74955767307,-,-
3,Болеслав,Семёнов,Донатович,Московская,17,74954024557,-,-
2,Илья,Семёнов,Афонасьевич,Ауэзова,26,-,74956114246,74952015555
1,Алексей,Фролов,Геннадьевич,Ауэзова,4,74953799912,-,-
8,Яков,Рожков,Германнович,Тургеневская,3,-,74958822997,-
7,Клемент,Данилов,Михайлович,Северная,1,-,74956831975,74950985555
10,Герман,Мельников,Иосифович,Тургеневская,44,-,-,74956632289
9,Венедикт,Ефремов,Адольфович,Тургеневская,14,-,-,74956856081
